3266.000    0.01319 3266.000    0.00609 3266.000    0.00777 3266.000    0.01678 3266.000    0.03116 3266.000    0.00158 3266.000   -0.00483 3266.000   -0.00503 3266.000    0.00069 3266.000    0.00288 3266.000    0.00151 3266.000    0.00387 3266.000    0.00980 3266.000    0.00124 3266.000   -0.00164 3266.000   -0.00305 3266.000    0.00154 3266.000    0.00260 3266.000    0.00088 3266.000    0.00103
3266.100    0.02075 3266.100    0.01123 3266.100    0.00149 3266.100    0.02117 3266.100    0.02638 3266.100    0.00469 3266.100    0.00783 3266.100   -0.01133 3266.100    0.00110 3266.100   -0.00601 3266.100    0.00412 3266.100    0.00075 3266.100    0.00678 3266.100    0.00296 3266.100    0.00331 3266.100   -0.00215 3266.100   -0.00304 3266.100   -0.00215 3266.100    0.00329 3266.100    0.00184
3266.200    0.00933 3266.200    0.00897 3266.200    0.01169 3266.200    0.01218 3266.200    0.00009 3266.200    0.00270 3266.200    0.01187 3266.200   -0.00488 3266.200    0.00606 3266.200    0.00200 3266.200    0.00538 3266.200   -0.00246 3266.200   -0.00991 3266.200   -0.00093 3266.200    0.00036 3266.200    0.00061 3266.200   -0.00262 3266.200    0.00147 3266.200    0.00083 3266.200    0.00254
3266.400    0.00152 3266.400    0.00289 3266.400    0.01389 3266.400   -0.00484 3266.400   -0.00418 3266.400   -0.00161 3266.400    0.01939 3266.400   -0.00735 3266.400    0.00767 3266.400    0.00304 3266.400    0.00042 3266.400    0.00198 3266.400   -0.01669 3266.400   -0.00396 3266.400   -0.00019 3266.400    0.00228 3266.400   -0.00285 3266.400    0.00185 3266.400   -0.00431 3266.400    0.00032
3266.500    0.00242 3266.500    0.01632 3266.500   -0.00149 3266.500    0.01683 3266.500    0.02312 3266.500    0.02838 3266.500    0.01561 3266.500   -0.00380 3266.500   -0.00315 3266.500    0.00119 3266.500    0.00214 3266.500   -0.01248 3266.500   -0.00132 3266.500    0.00375 3266.500    0.00075 3266.500   -0.00040 3266.500   -0.00548 3266.500   -0.00150 3266.500   -0.00173 3266.500   -0.00027
3266.600   -0.01147 3266.600    0.01491 3266.600    0.00323 3266.600    0.00023 3266.600    0.02508 3266.600    0.02121 3266.600    0.00515 3266.600   -0.00282 3266.600   -0.00290 3266.600    0.00229 3266.600    0.01238 3266.600   -0.00751 3266.600   -0.00959 3266.600   -0.00306 3266.600    0.00169 3266.600    0.00278 3266.600   -0.00166 3266.600    0.00133 3266.600    0.00220 3266.600    0.00484
3266.700   -0.00852 3266.700    0.00073 3266.700    0.00072 3266.700    0.01117 3266.700    0.01985 3266.700   -0.00074 3266.700   -0.00428 3266.700    0.00156 3266.700    0.01056 3266.700    0.00108 3266.700   -0.00025 3266.700   -0.00151 3266.700   -0.00943 3266.700    0.00609 3266.700   -0.00005 3266.700    0.00039 3266.700    0.00161 3266.700   -0.00419 3266.700    0.00230 3266.700   -0.00146
3266.800    0.00798 3266.800    0.00239 3266.800   -0.00187 3266.800   -0.02112 3266.800    0.01829 3266.800   -0.00645 3266.800   -0.00743 3266.800    0.00006 3266.800    0.00296 3266.800    0.00279 3266.800    0.00584 3266.800   -0.00439 3266.800    0.00932 3266.800    0.00818 3266.800   -0.00250 3266.800    0.00084 3266.800   -0.00541 3266.800   -0.00463 3266.800    0.00208 3266.800   -0.00158
3266.900   -0.00537 3266.900    0.00195 3266.900   -0.00106 3266.900   -0.00373 3266.900    0.02472 3266.900    0.00502 3266.900   -0.00420 3266.900   -0.00140 3266.900   -0.00282 3266.900   -0.00207 3266.900   -0.00296 3266.900   -0.00455 3266.900    0.00636 3266.900    0.00196 3266.900    0.00185 3266.900    0.00219 3266.900   -0.00160 3266.900   -0.00653 3266.900   -0.00002 3266.900   -0.00135
3267.100    0.00392 3267.100    0.00386 3267.100    0.01111 3267.100   -0.00014 3267.100    0.00517 3267.100   -0.01383 3267.100    0.00481 3267.100   -0.00350 3267.100    0.00614 3267.100    0.00243 3267.100   -0.01004 3267.100    0.00268 3267.100   -0.00212 3267.100    0.00055 3267.100    0.00276 3267.100    0.00208 3267.100   -0.00448 3267.100    0.00155 3267.100   -0.00022 3267.100    0.00224
3267.200    0.00575 3267.200    0.00910 3267.200    0.00419 3267.200    0.00864 3267.200   -0.00459 3267.200    0.01028 3267.200    0.01089 3267.200   -0.00241 3267.200    0.00160 3267.200    0.00437 3267.200    0.00015 3267.200    0.00075 3267.200    0.00132 3267.200    0.00020 3267.200    0.00667 3267.200    0.00473 3267.200   -0.00378 3267.200   -0.00014 3267.200   -0.00077 3267.200    0.00163
3267.300    0.00300 3267.300    0.00160 3267.300    0.00299 3267.300    0.00721 3267.300   -0.00836 3267.300    0.00469 3267.300   -0.00024 3267.300    0.00253 3267.300    0.00061 3267.300    0.00709 3267.300   -0.00048 3267.300    0.00231 3267.300   -0.00191 3267.300    0.00244 3267.300    0.00738 3267.300   -0.00251 3267.300   -0.00041 3267.300    0.00089 3267.300   -0.00174 3267.300    0.00071
3267.400    0.00735 3267.400   -0.00309 3267.400   -0.00596 3267.400    0.02777 3267.400    0.01422 3267.400    0.00754 3267.400   -0.00806 3267.400    0.00583 3267.400    0.00168 3267.400   -0.00739 3267.400    0.00484 3267.400    0.00649 3267.400   -0.00276 3267.400   -0.00368 3267.400    0.00163 3267.400   -0.00105 3267.400   -0.00019 3267.400   -0.00117 3267.400   -0.00099 3267.400    0.00170
3267.500    0.01697 3267.500    0.00329 3267.500   -0.00225 3267.500    0.03528 3267.500    0.00627 3267.500    0.00104 3267.500    0.01212 3267.500   -0.00994 3267.500    0.00581 3267.500   -0.01096 3267.500    0.00710 3267.500    0.00555 3267.500   -0.00260 3267.500   -0.00344 3267.500    0.00535 3267.500    0.00081 3267.500   -0.00285 3267.500   -0.00411 3267.500   -0.00308 3267.500    0.00290
3267.600    0.00337 3267.600   -0.00590 3267.600   -0.00022 3267.600    0.01361 3267.600    0.01799 3267.600    0.01806 3267.600    0.00299 3267.600   -0.00290 3267.600   -0.00671 3267.600    0.00974 3267.600    0.00760 3267.600    0.00263 3267.600   -0.00424 3267.600   -0.00595 3267.600    0.00554 3267.600   -0.00578 3267.600    0.00366 3267.600   -0.00351 3267.600   -0.00200 3267.600   -0.00027
3267.800    0.00790 3267.800   -0.00583 3267.800   -0.00024 3267.800   -0.00141 3267.800    0.00441 3267.800    0.00622 3267.800   -0.00505 3267.800   -0.00728 3267.800   -0.00803 3267.800    0.00462 3267.800   -0.00048 3267.800    0.00001 3267.800   -0.00880 3267.800   -0.00279 3267.800    0.00199 3267.800   -0.00299 3267.800    0.00222 3267.800    0.00808 3267.800   -0.00257 3267.800    0.00242
3267.900    0.00047 3267.900    0.00517 3267.900    0.00312 3267.900    0.01482 3267.900   -0.01911 3267.900    0.00614 3267.900   -0.00313 3267.900    0.00883 3267.900    0.00474 3267.900   -0.00185 3267.900   -0.00364 3267.900    0.00908 3267.900   -0.00397 3267.900    0.00320 3267.900   -0.00393 3267.900    0.00346 3267.900    0.00520 3267.900   -0.00014 3267.900   -0.00084 3267.900    0.00156
3268.000    0.00618 3268.000    0.00070 3268.000   -0.00472 3268.000    0.01123 3268.000    0.01206 3268.000    0.00725 3268.000    0.01051 3268.000   -0.00237 3268.000    0.00379 3268.000    0.00451 3268.000   -0.00481 3268.000    0.00091 3268.000    0.00355 3268.000    0.00836 3268.000    0.00221 3268.000    0.00349 3268.000    0.00161 3268.000   -0.00243 3268.000    0.00408 3268.000    0.00143
3268.100   -0.00584 3268.100    0.01116 3268.100    0.00239 3268.100    0.00843 3268.100    0.01467 3268.100    0.00262 3268.100    0.01399 3268.100   -0.00728 3268.100   -0.00171 3268.100    0.00125 3268.100    0.00214 3268.100   -0.00287 3268.100    0.00021 3268.100    0.00096 3268.100    0.00152 3268.100    0.00411 3268.100    0.00529 3268.100    0.00177 3268.100   -0.00048 3268.100    0.00026
3268.200   -0.00326 3268.200    0.01094 3268.200    0.00677 3268.200    0.00399 3268.200   -0.00820 3268.200    0.01446 3268.200    0.00400 3268.200   -0.00526 3268.200    0.00015 3268.200   -0.00092 3268.200    0.00931 3268.200   -0.00484 3268.200   -0.00170 3268.200    0.00591 3268.200    0.00691 3268.200    0.00180 3268.200   -0.00419 3268.200    0.00217 3268.200   -0.00272 3268.200    0.00240
3268.300    0.01441 3268.300    0.00987 3268.300    0.00832 3268.300    0.00362 3268.300   -0.00152 3268.300   -0.00008 3268.300    0.00651 3268.300   -0.00376 3268.300    0.00874 3268.300    0.00462 3268.300    0.00317 3268.300    0.00247 3268.300    0.00604 3268.300    0.00598 3268.300    0.00031 3268.300   -0.00324 3268.300    0.00218 3268.300   -0.00202 3268.300   -0.00362 3268.300    0.00139
3268.500    0.00903 3268.500    0.00701 3268.500    0.00180 3268.500   -0.01922 3268.500    0.00441 3268.500   -0.00563 3268.500    0.00286 3268.500    0.00111 3268.500   -0.00134 3268.500    0.00591 3268.500    0.00155 3268.500    0.00042 3268.500    0.00222 3268.500    0.00904 3268.500   -0.00173 3268.500    0.00385 3268.500   -0.00275 3268.500   -0.00316 3268.500    0.00039 3268.500   -0.00029
3268.600    0.01787 3268.600    0.00262 3268.600    0.00350 3268.600   -0.00632 3268.600    0.00140 3268.600    0.02262 3268.600   -0.00751 3268.600   -0.00417 3268.600   -0.00894 3268.600    0.00642 3268.600    0.00042 3268.600   -0.00077 3268.600    0.00519 3268.600    0.00750 3268.600   -0.00247 3268.600   -0.00071 3268.600    0.00616 3268.600    0.00307 3268.600   -0.00189 3268.600   -0.00069
3268.700    0.00014 3268.700   -0.00113 3268.700    0.01055 3268.700   -0.00505 3268.700    0.01477 3268.700    0.01612 3268.700   -0.00029 3268.700    0.00658 3268.700   -0.00373 3268.700    0.00498 3268.700   -0.01225 3268.700   -0.00176 3268.700    0.00546 3268.700    0.01176 3268.700    0.00441 3268.700   -0.00150 3268.700   -0.00038 3268.700    0.00258 3268.700    0.00041 3268.700    0.00184
