3277.222   -0.33342 3277.222   -1.40252 3276.244   -1.51406 3277.026    0.87179 3276.929   -0.02247 3277.124   -1.04231 3277.417    0.42239 3277.026   -0.32258 3277.320   -0.04976 3277.808    0.57624 3277.320   -1.92419 3277.515   -1.43789 3277.124    0.97268 3277.808    0.79074 3277.320   -2.43479 3278.493   -0.88080 3277.906    1.90334 3278.004   -0.87791 3277.711    2.41046 3278.590   -0.89297
3277.320   -0.76598 3277.320   -1.97632 3276.342   -0.26453 3277.124    0.85023 3277.026    0.02468 3277.222   -0.26455 3277.515    0.07346 3277.124   -0.34623 3277.417    0.50597 3277.906    0.00900 3277.417   -1.02943 3277.613   -1.64500 3277.222   -0.68262 3277.906    0.73323 3277.417   -1.91628 3278.590   -2.02492 3278.004    1.58056 3278.102   -1.65624 3277.808    2.41046 3278.688    0.18661
3277.417   -0.90116 3277.417   -1.53003 3276.440    0.56848 3277.222    0.31122 3277.124   -0.32897 3277.320   -0.28812 3277.613   -0.35025 3277.222   -0.58271 3277.515    0.98592 3278.004   -0.18953 3277.515   -0.78088 3277.711   -0.66863 3277.320   -0.74883 3278.004    0.10057 3277.515   -1.17091 3278.688   -2.66429 3278.102    0.93500 3278.199   -0.59488 3277.906    3.29897 3278.786   -1.15355
3277.515   -0.54970 3277.515   -0.95623 3276.538    0.37916 3277.320   -0.35716 3277.222   -0.63546 3277.417   -0.09957 3277.711    0.42239 3277.320   -1.12663 3277.613    1.36483 3278.102   -0.24626 3277.613    0.06418 3277.808    0.10064 3277.417   -0.71572 3278.102   -0.18701 3277.613   -1.52739 3278.786   -2.59699 3278.199    0.75568 3278.297   -0.20571 3278.004    1.62857 3278.884   -1.89808
3277.613   -0.36046 3277.613   -0.79685 3276.635   -1.51406 3277.417   -0.20624 3277.320   -1.10699 3277.515    0.65463 3277.809    0.49716 3277.417   -0.39353 3277.711    0.78384 3278.199    1.00168 3277.711    0.68554 3277.906    0.54444 3277.515   -0.58330 3278.199    1.04956 3277.711   -1.52739 3278.884   -3.37095 3278.297   -0.06921 3278.395   -0.02881 3278.102    0.45574 3278.981   -2.53093
3277.711   -0.00900 3277.711   -1.43440 3276.733   -1.47619 3277.515   -0.14155 3277.417   -1.27203 3277.613    1.12600 3277.906   -0.20070 3277.515   -0.10974 3277.808    0.05129 3278.297    1.31366 3277.808    0.38729 3278.004    0.72197 3277.613    1.27064 3278.297    0.76198 3277.808   -0.78202 3278.981   -2.73159 3278.395    1.18605 3278.493    0.14808 3278.199    0.24250 3279.079   -2.82875
3277.808    0.66687 3277.808   -2.13570 3276.831    0.83353 3277.613    0.11717 3277.515   -1.71998 3277.710    0.39537 3278.004   -0.37517 3277.613    0.05580 3277.906   -0.07502 3278.395    1.39875 3277.906   -0.08495 3278.102    0.78114 3277.710    2.23071 3278.395   -0.47458 3277.906   -0.13387 3279.079   -1.89032 3278.493    1.68816 3278.590   -0.09957 3278.297    1.37979 3279.177   -0.85574
3277.906    0.72094 3277.906   -1.72130 3276.929    2.84035 3277.711   -0.18468 3277.613   -1.55494 3277.808    0.06541 3278.102    0.22300 3277.711    0.69431 3278.004    0.35441 3278.493    0.88823 3278.004   -1.20341 3278.199    0.42609 3277.808    1.70102 3278.493   -0.24452 3278.004    0.44946 3279.177   -1.41921 3278.591    0.03839 3278.688   -1.12556 3278.395    0.81115 3279.275    1.34063
3278.004    0.07210 3278.004   -0.70121 3277.026    2.46170 3277.808   -0.27092 3277.711   -0.80050 3277.906   -0.35882 3278.199    0.57193 3277.808    0.24498 3278.102    0.65754 3278.590   -0.01936 3278.102   -1.05428 3278.297    0.33733 3277.906    0.44299 3278.590   -0.07198 3278.102   -0.10146 3279.275   -0.17414 3278.688   -0.06921 3278.786   -1.40859 3278.493   -0.32614 3279.372    1.45231
3278.102   -0.52267 3278.102   -0.03178 3277.124    2.80248 3277.906   -0.70213 3277.809   -0.56473 3278.004    0.18325 3278.297    0.54701 3277.906   -0.32258 3278.199    0.32915 3278.688   -0.27462 3278.199   -1.02943 3278.395   -0.01771 3278.004    0.50920 3278.688    0.38814 3278.199    0.02817 3279.373   -0.03953 3278.786   -0.57131 3278.884   -0.98404 3278.591   -0.68155 3279.470    1.04282
3278.199   -0.27935 3278.199   -0.95623 3277.222    2.57530 3278.004   -0.46496 3277.906   -0.98911 3278.102   -0.00529 3278.395    0.69655 3278.004   -0.39353 3278.297    0.00076 3278.786   -0.01936 3278.297   -0.93001 3278.493   -0.57987 3278.102    1.27064 3278.786   -0.12949 3278.297    0.25502 3279.470    0.33062 3278.884   -1.00169 3278.981   -1.58548 3278.688   -0.25506 3279.568   -1.60027
